yourlist:M201909028471C63D39733769F8E060B506551E123F05953	Entry	Entry name	Status	Protein names	Gene names	Organism	Length		
"HIST1H2BG,HIST1H2BE"	P62807	H2B1C_HUMAN	reviewed	Histone H2B type 1-C/E/F/G/I (Histone H2B.1 A) (Histone H2B.a) (H2B/a) (Histone H2B.g) (H2B/g) (Histone H2B.h) (H2B/h) (Histone H2B.k) (H2B/k) (Histone H2B.l) (H2B/l)	HIST1H2BC H2BFL; HIST1H2BE H2BFH; HIST1H2BF H2BFG; HIST1H2BG H2BFA; HIST1H2BI H2BFK	Homo sapiens (Human)	126	Q9Y5R8	58485
LGSN	Q5TDP6	LGSN_HUMAN	reviewed	Lengsin (Glutamate-ammonia ligase domain-containing protein 1) (Lens glutamine synthase-like)	LGSN GLULD1 LGS	Homo sapiens (Human)	509	Q13164	5598
ZNF316	A6NFI3	ZN316_HUMAN	reviewed	Zinc finger protein 316	ZNF316	Homo sapiens (Human)	1004	Q86VL8	146802
MPDZ	O75970	MPDZ_HUMAN	reviewed	Multiple PDZ domain protein (Multi-PDZ domain protein 1)	MPDZ MUPP1	Homo sapiens (Human)	2070	Q9UNZ2	55968
MED22	Q15528	MED22_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 22 (Mediator complex subunit 22) (Surfeit locus protein 5) (Surf-5)	MED22 SURF5	Homo sapiens (Human)	200	Q13627	1859
NPAT	Q14207	NPAT_HUMAN	reviewed	Protein NPAT (Nuclear protein of the ataxia telangiectasia mutated locus) (Nuclear protein of the ATM locus) (p220)	NPAT CAND3 E14	Homo sapiens (Human)	1427	P48449	4047
FRMD6	Q96NE9	FRMD6_HUMAN	reviewed	FERM domain-containing protein 6 (Willin)	FRMD6 C14orf31	Homo sapiens (Human)	622	O94759	7226
FANCI	Q9NVI1	FANCI_HUMAN	reviewed	Fanconi anemia group I protein (Protein FACI)	FANCI KIAA1794	Homo sapiens (Human)	1328	Q9HCX4	57113
BCKDK	O14874	BCKD_HUMAN	reviewed	"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)"	BCKDK	Homo sapiens (Human)	412	Q9Y5H9	56146
IL12RB1	P42701	I12R1_HUMAN	reviewed	Interleukin-12 receptor subunit beta-1 (IL-12 receptor subunit beta-1) (IL-12R subunit beta-1) (IL-12R-beta-1) (IL-12RB1) (IL-12 receptor beta component) (CD antigen CD212)	IL12RB1 IL12R IL12RB	Homo sapiens (Human)	662	Q8TC56	153745
SNAI1	O95863	SNAI1_HUMAN	reviewed	Zinc finger protein SNAI1 (Protein snail homolog 1) (Protein sna)	SNAI1 SNAH	Homo sapiens (Human)	264	Q96IK1	91272
LRRC31	Q6UY01	LRC31_HUMAN	reviewed	Leucine-rich repeat-containing protein 31	LRRC31 UNQ9367/PRO34156	Homo sapiens (Human)	552	Q8N6D2	221687
KRT14	P02533	K1C14_HUMAN	reviewed	"Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)"	KRT14	Homo sapiens (Human)	472	P0C7U0	392617
RNF111	Q6ZNA4	RN111_HUMAN	reviewed	E3 ubiquitin-protein ligase Arkadia (EC 2.3.2.27) (RING finger protein 111) (hRNF111) (RING-type E3 ubiquitin transferase Arkadia)	RNF111	Homo sapiens (Human)	994	Q8WXH4	140456
UGT2B7	P16662	UD2B7_HUMAN	reviewed	"UDP-glucuronosyltransferase 2B7 (UDPGT 2B7) (EC 2.4.1.17) (3,4-catechol estrogen-specific UDPGT) (UDP-glucuronosyltransferase 2B9) (UDPGT 2B9) (UDPGTh-2)"	UGT2B7 UGTB2B9	Homo sapiens (Human)	529	Q9BWE0	29803
NUTM2D	Q5VT03	NTM2D_HUMAN	reviewed	NUT family member 2D	NUTM2D FAM22D	Homo sapiens (Human)	806	P17676	1051
FAM19A5	Q7Z5A7	TAFA5_HUMAN	reviewed	Chemokine-like protein TAFA-5	TAFA5 FAM19A5 UNQ5208/PRO34524	Homo sapiens (Human)	132	Q9H0C3	84216
THAP6	Q8TBB0	THAP6_HUMAN	reviewed	THAP domain-containing protein 6	THAP6	Homo sapiens (Human)	222	Q12968	4775
LCLAT1	Q6UWP7	LCLT1_HUMAN	reviewed	Lysocardiolipin acyltransferase 1 (EC 2.3.1.-) (1-acylglycerol-3-phosphate O-acyltransferase 8) (1-AGP acyltransferase 8) (1-AGPAT 8) (EC 2.3.1.51) (Acyl-CoA:lysocardiolipin acyltransferase 1)	LCLAT1 AGPAT8 ALCAT1 LYCAT UNQ1849/PRO3579	Homo sapiens (Human)	414	Q16478	2901
TBC1D26	Q86UD7	TBC26_HUMAN	reviewed	TBC1 domain family member 26	TBC1D26	Homo sapiens (Human)	250	Q9Y3Q7	8749
NXF1	Q9UBU9	NXF1_HUMAN	reviewed	Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP)	NXF1 TAP	Homo sapiens (Human)	619	P04839	1536
BICC1	Q9H694	BICC1_HUMAN	reviewed	Protein bicaudal C homolog 1 (Bic-C)	BICC1	Homo sapiens (Human)	974	Q8NE86	90550
COL4A6	Q14031	CO4A6_HUMAN	reviewed	Collagen alpha-6(IV) chain	COL4A6	Homo sapiens (Human)	1691	P20839	3614
C17orf62	Q9BQA9	CYBC1_HUMAN	reviewed	Cytochrome b-245 chaperone 1 (Essential for reactive oxygen species protein) (Eros)	CYBC1 C17orf62 EROS	Homo sapiens (Human)	187	Q0VGL1	389541
COL8A2	P25067	CO8A2_HUMAN	reviewed	Collagen alpha-2(VIII) chain (Endothelial collagen)	COL8A2	Homo sapiens (Human)	703	O14526	23149
ZNF527	Q8NB42	ZN527_HUMAN	reviewed	Zinc finger protein 527	ZNF527 KIAA1829	Homo sapiens (Human)	609	A4D161	340277
CLCNKA	P51800	CLCKA_HUMAN	reviewed	Chloride channel protein ClC-Ka (Chloride channel Ka) (ClC-K1)	CLCNKA	Homo sapiens (Human)	687	Q9UG56	23761
PSTK	Q8IV42	PSTK_HUMAN	reviewed	L-seryl-tRNA(Sec) kinase (EC 2.7.1.164) (O-phosphoseryl-tRNA(Sec) kinase)	PSTK C10orf89	Homo sapiens (Human)	348	A4D1U4	57189
RPS5	P46782	RS5_HUMAN	reviewed	"40S ribosomal protein S5 (Small ribosomal subunit protein uS7) [Cleaved into: 40S ribosomal protein S5, N-terminally processed]"	RPS5	Homo sapiens (Human)	204	Q5T9C9	138429
RRAS2	P62070	RRAS2_HUMAN	reviewed	Ras-related protein R-Ras2 (Ras-like protein TC21) (Teratocarcinoma oncogene)	RRAS2 TC21	Homo sapiens (Human)	204	Q8NGN0	219875
C9orf117	Q5JU67	CF157_HUMAN	reviewed	Cilia- and flagella-associated protein 157	CFAP157 C9orf117	Homo sapiens (Human)	520	A4QPB2	91355
PIGZ	Q86VD9	PIGZ_HUMAN	reviewed	GPI mannosyltransferase 4 (EC 2.4.1.-) (GPI mannosyltransferase IV) (GPI-MT-IV) (Phosphatidylinositol-glycan biosynthesis class Z protein) (PIG-Z) (SMP3 homolog) (hSMP3)	PIGZ SMP3	Homo sapiens (Human)	579	Q8NEG4	113828
PRRX2	Q99811	PRRX2_HUMAN	reviewed	Paired mesoderm homeobox protein 2 (Paired-related homeobox protein 2) (PRX-2)	PRRX2 PMX2 PRX2	Homo sapiens (Human)	253	P61011	6729
SLC41A3	Q96GZ6	S41A3_HUMAN	reviewed	Solute carrier family 41 member 3	SLC41A3	Homo sapiens (Human)	507	Q86VY4	85453
RGL3	Q3MIN7	RGL3_HUMAN	reviewed	Ral guanine nucleotide dissociation stimulator-like 3 (RalGDS-like 3)	RGL3	Homo sapiens (Human)	710	Q13188	6788
HSD11B1	P28845	DHI1_HUMAN	reviewed	Corticosteroid 11-beta-dehydrogenase isozyme 1 (EC 1.1.1.146) (11-beta-hydroxysteroid dehydrogenase 1) (11-DH) (11-beta-HSD1) (Short chain dehydrogenase/reductase family 26C member 1)	HSD11B1 HSD11 HSD11L SDR26C1	Homo sapiens (Human)	292	O94827	57449
CCL5	P13501	CCL5_HUMAN	reviewed	C-C motif chemokine 5 (EoCP) (Eosinophil chemotactic cytokine) (SIS-delta) (Small-inducible cytokine A5) (T cell-specific protein P228) (TCP228) (T-cell-specific protein RANTES) [Cleaved into: RANTES(3-68); RANTES(4-68)]	CCL5 D17S136E SCYA5	Homo sapiens (Human)	91	P0C025	200035
ABHD6	Q9BV23	ABHD6_HUMAN	reviewed	Monoacylglycerol lipase ABHD6 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 6)	ABHD6	Homo sapiens (Human)	337	Q14CX5	79847
PROSER1	Q86XN7	PRSR1_HUMAN	reviewed	Proline and serine-rich protein 1	PROSER1 C13orf23 KIAA2032	Homo sapiens (Human)	944	Q9BYE7	84108
OR5M1	Q8NGP8	OR5M1_HUMAN	reviewed	Olfactory receptor 5M1 (OST050) (Olfactory receptor OR11-208)	OR5M1	Homo sapiens (Human)	315	Q8IYW2	54777
CYP2A7	P20853	CP2A7_HUMAN	reviewed	Cytochrome P450 2A7 (EC 1.14.14.1) (CYPIIA7) (Cytochrome P450 IIA4)	CYP2A7	Homo sapiens (Human)	494	Q8NGJ5	119682
AQP6	Q13520	AQP6_HUMAN	reviewed	Aquaporin-6 (AQP-6) (Aquaporin-2-like) (Kidney-specific aquaporin) (hKID)	AQP6 AQP2L	Homo sapiens (Human)	282	Q9NR22	56341
GRAMD1B	Q3KR37	ASTRB_HUMAN	reviewed	Protein Aster-B (GRAM domain-containing protein 1B)	GRAMD1B KIAA1201 UNQ3032/PRO9834	Homo sapiens (Human)	738	O14727	317
KDM4A	O75164	KDM4A_HUMAN	reviewed	Lysine-specific demethylase 4A (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 3A) (Jumonji domain-containing protein 2A)	KDM4A JHDM3A JMJD2 JMJD2A KIAA0677	Homo sapiens (Human)	1064	P41240	1445
AGT	P01019	ANGT_HUMAN	reviewed	Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4]	AGT SERPINA8	Homo sapiens (Human)	485	Q8N1F7	9688
OR2W3	Q7Z3T1	OR2W3_HUMAN	reviewed	Olfactory receptor 2W3 (Olfactory receptor 2W8) (Olfactory receptor OR1-49)	OR2W3 OR2W3P OR2W8P	Homo sapiens (Human)	314	O43615	10469
NLRC4	Q9NPP4	NLRC4_HUMAN	reviewed	"NLR family CARD domain-containing protein 4 (CARD, LRR, and NACHT-containing protein) (Clan protein) (Caspase recruitment domain-containing protein 12) (Ice protease-activating factor) (Ipaf)"	NLRC4 CARD12 CLAN CLAN1 IPAF UNQ6189/PRO20215	Homo sapiens (Human)	1024	O75182	23309
IQCJ	Q1A5X6	IQCJ_HUMAN	reviewed	IQ domain-containing protein J	IQCJ	Homo sapiens (Human)	159	Q8TF61	150726
LMNB1	P20700	LMNB1_HUMAN	reviewed	Lamin-B1	LMNB1 LMN2 LMNB	Homo sapiens (Human)	586	Q86VH4	80059
MT1E	P04732	MT1E_HUMAN	reviewed	Metallothionein-1E (MT-1E) (Metallothionein-IE) (MT-IE)	MT1E	Homo sapiens (Human)	61	O95256	8807
FOXP4	Q8IVH2	FOXP4_HUMAN	reviewed	Forkhead box protein P4 (Fork head-related protein-like A)	FOXP4 FKHLA	Homo sapiens (Human)	680	Q13021	7851
PHB2	Q99623	PHB2_HUMAN	reviewed	Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity)	PHB2 BAP REA	Homo sapiens (Human)	299	Q8NDX1	23550
DNAJC6	O75061	AUXI_HUMAN	reviewed	Putative tyrosine-protein phosphatase auxilin (EC 3.1.3.48) (DnaJ homolog subfamily C member 6)	DNAJC6 KIAA0473	Homo sapiens (Human)	913	Q9H490	128869
HMOX1	P09601	HMOX1_HUMAN	reviewed	Heme oxygenase 1 (HO-1) (EC 1.14.14.18)	HMOX1 HO HO1	Homo sapiens (Human)	288	O95447	150082
TSPYL2	Q9H2G4	TSYL2_HUMAN	reviewed	Testis-specific Y-encoded-like protein 2 (TSPY-like protein 2) (Cell division autoantigen 1) (Cutaneous T-cell lymphoma-associated antigen se20-4) (CTCL-associated antigen se20-4) (Differentially-expressed nucleolar TGF-beta1 target protein) (Nuclear protein of 79 kDa) (NP79)	TSPYL2 CDA1 DENTT TSPX HRIHFB2216	Homo sapiens (Human)	693	P50613	1022
SNHG12	Q9BXW3	SNH12_HUMAN	reviewed	Putative uncharacterized protein SNHG12 (Transformation-related gene 11 protein) (TRG-11)	SNHG12 C1orf79 PNAS-123 TRG11	Homo sapiens (Human)	62	Q96J42	79770
UBR3	Q6ZT12	UBR3_HUMAN	reviewed	E3 ubiquitin-protein ligase UBR3 (EC 2.3.2.27) (N-recognin-3) (RING-type E3 ubiquitin transferase UBR3) (Ubiquitin-protein ligase E3-alpha-3) (Ubiquitin-protein ligase E3-alpha-III) (Zinc finger protein 650)	UBR3 KIAA2024 ZNF650	Homo sapiens (Human)	1888	P47902	1044
POU3F2	P20265	PO3F2_HUMAN	reviewed	"POU domain, class 3, transcription factor 2 (Brain-specific homeobox/POU domain protein 2) (Brain-2) (Brn-2) (Nervous system-specific octamer-binding transcription factor N-Oct-3) (Octamer-binding protein 7) (Oct-7) (Octamer-binding transcription factor 7) (OTF-7)"	POU3F2 BRN2 OCT7 OTF7	Homo sapiens (Human)	443	Q6ZN57	80108
GSG1L	Q6UXU4	GSG1L_HUMAN	reviewed	Germ cell-specific gene 1-like protein (GSG1-like protein)	GSG1L UNQ5831/PRO19651	Homo sapiens (Human)	331	P40425	5089
PIK3CD	O00329	PK3CD_HUMAN	reviewed	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)"	PIK3CD	Homo sapiens (Human)	1044	Q9ULJ8	55607
"USP31,USP48"	Q86UV5	UBP48_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 48 (EC 3.4.19.12) (Deubiquitinating enzyme 48) (Ubiquitin thioesterase 48) (Ubiquitin-specific peptidase 48) (Ubiquitin-specific protease 48) (Ubiquitin-specific-processing protease 48)	USP48 USP31	Homo sapiens (Human)	1035	A0PJY2	389549
SYT11	Q9BT88	SYT11_HUMAN	reviewed	Synaptotagmin-11 (Synaptotagmin XI) (SytXI)	SYT11 KIAA0080	Homo sapiens (Human)	431	Q8TD17	57541
FCGR2A	P12318	FCG2A_HUMAN	reviewed	Low affinity immunoglobulin gamma Fc region receptor II-a (IgG Fc receptor II-a) (CDw32) (Fc-gamma RII-a) (Fc-gamma-RIIa) (FcRII-a) (CD antigen CD32)	FCGR2A CD32 FCG2 FCGR2A1 IGFR2	Homo sapiens (Human)	317	Q96DT7	65986
HYAL1	Q12794	HYAL1_HUMAN	reviewed	Hyaluronidase-1 (Hyal-1) (EC 3.2.1.35) (Hyaluronoglucosaminidase-1) (Lung carcinoma protein 1) (LuCa-1)	HYAL1 LUCA1	Homo sapiens (Human)	435	Q9Y5V0	51123
EPO	P01588	EPO_HUMAN	reviewed	Erythropoietin (Epoetin)	EPO	Homo sapiens (Human)	193	Q9Y6A1	10585
"EPX,EPO"	P11678	PERE_HUMAN	reviewed	Eosinophil peroxidase (EPO) (EC 1.11.1.7) [Cleaved into: Eosinophil peroxidase light chain; Eosinophil peroxidase heavy chain]	EPX EPER EPO EPP	Homo sapiens (Human)	715	Q9UJX6	29882
RBM17	Q96I25	SPF45_HUMAN	reviewed	Splicing factor 45 (45 kDa-splicing factor) (RNA-binding motif protein 17)	RBM17 SPF45	Homo sapiens (Human)	401	Q9H237	64840
DHX8	Q14562	DHX8_HUMAN	reviewed	ATP-dependent RNA helicase DHX8 (EC 3.6.4.13) (DEAH box protein 8) (RNA helicase HRH1)	DHX8 DDX8	Homo sapiens (Human)	1220	O43900	4007
GATAD2A	Q86YP4	P66A_HUMAN	reviewed	Transcriptional repressor p66-alpha (Hp66alpha) (GATA zinc finger domain-containing protein 2A)	GATAD2A	Homo sapiens (Human)	633	Q969F0	89885
MATN1	P21941	MATN1_HUMAN	reviewed	Cartilage matrix protein (Matrilin-1)	MATN1 CMP CRTM	Homo sapiens (Human)	496	Q92835	3635
MAPKAP1	Q9BPZ7	SIN1_HUMAN	reviewed	Target of rapamycin complex 2 subunit MAPKAP1 (TORC2 subunit MAPKAP1) (Mitogen-activated protein kinase 2-associated protein 1) (Stress-activated map kinase-interacting protein 1) (SAPK-interacting protein 1) (mSIN1)	MAPKAP1 MIP1 SIN1	Homo sapiens (Human)	522	Q8N1G2	23070
"INSL3,RLF"	P51460	INSL3_HUMAN	reviewed	Insulin-like 3 (Leydig insulin-like peptide) (Ley-I-L) (Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain]	INSL3 RLF RLNL	Homo sapiens (Human)	131	Q6DKI7	79037
RLF	Q13129	RLF_HUMAN	reviewed	Zinc finger protein Rlf (Rearranged L-myc fusion gene protein) (Zn-15-related protein)	RLF	Homo sapiens (Human)	1914	Q0VD83	55911
MIER1	Q8N108	MIER1_HUMAN	reviewed	Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1) (hMi-er1)	MIER1 KIAA1610	Homo sapiens (Human)	512	Q9BWX1	51533
IL10	P22301	IL10_HUMAN	reviewed	Interleukin-10 (IL-10) (Cytokine synthesis inhibitory factor) (CSIF)	IL10	Homo sapiens (Human)	178	Q99959	5318
RAD51AP2	Q09MP3	R51A2_HUMAN	reviewed	RAD51-associated protein 2	RAD51AP2	Homo sapiens (Human)	1159	O60447	7813
ZNF732	B4DXR9	ZN732_HUMAN	reviewed	Zinc finger protein 732	ZNF732	Homo sapiens (Human)	585	Q9P2J8	57547
DHX29	Q7Z478	DHX29_HUMAN	reviewed	ATP-dependent RNA helicase DHX29 (EC 3.6.4.13) (DEAH box protein 29) (Nucleic acid helicase DDXx)	DHX29 DDX29	Homo sapiens (Human)	1369	O75569	8575
AGGF1	Q8N302	AGGF1_HUMAN	reviewed	Angiogenic factor with G patch and FHA domains 1 (Angiogenic factor VG5Q) (hVG5Q) (G patch domain-containing protein 7) (Vasculogenesis gene on 5q protein)	AGGF1 GPATC7 GPATCH7 VG5Q	Homo sapiens (Human)	714	Q9Y5M8	58477
STX1A	Q16623	STX1A_HUMAN	reviewed	Syntaxin-1A (Neuron-specific antigen HPC-1)	STX1A STX1	Homo sapiens (Human)	288	Q6ZMN7	29951
ST7	Q9NRC1	ST7_HUMAN	reviewed	Suppressor of tumorigenicity 7 protein (Protein FAM4A1) (Protein HELG)	ST7 FAM4A1 HELG RAY1	Homo sapiens (Human)	585	P16473	7253
"LRP12,ST7"	Q9Y561	LRP12_HUMAN	reviewed	Low-density lipoprotein receptor-related protein 12 (LDLR-related protein 12) (LRP-12) (Suppressor of tumorigenicity 7 protein)	LRP12 ST7	Homo sapiens (Human)	859	Q9UJY4	23062
LEP	P41159	LEP_HUMAN	reviewed	Leptin (Obese protein) (Obesity factor)	LEP OB OBS	Homo sapiens (Human)	167	O76011	100653049
IFNA6	P05013	IFNA6_HUMAN	reviewed	Interferon alpha-6 (IFN-alpha-6) (Interferon alpha-54) (Interferon alpha-K) (LeIF K)	IFNA6	Homo sapiens (Human)	189	O76011	3885
PDCL	Q13371	PHLP_HUMAN	reviewed	Phosducin-like protein (PHLP)	PDCL PHLOP1 PhLP1	Homo sapiens (Human)	301	O96008	10452
SLC37A4	O43826	G6PT1_HUMAN	reviewed	Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19)	SLC37A4 G6PT G6PT1 PRO0685 TRG19	Homo sapiens (Human)	429	Q9NSI2	85395
LRTM2	Q8N967	LRTM2_HUMAN	reviewed	Leucine-rich repeat and transmembrane domain-containing protein 2	LRTM2	Homo sapiens (Human)	370	Q5VWK5	149233
ALG10	Q5BKT4	AG10A_HUMAN	reviewed	"Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-1,2-glucosyltransferase ALG10-A) (Alpha-2-glucosyltransferase ALG10-A) (Asparagine-linked glycosylation protein 10 homolog A)"	ALG10 ALG10A	Homo sapiens (Human)	473	P08567	5341
GEMIN2	O14893	GEMI2_HUMAN	reviewed	Gem-associated protein 2 (Gemin-2) (Component of gems 2) (Survival of motor neuron protein-interacting protein 1) (SMN-interacting protein 1)	GEMIN2 SIP1	Homo sapiens (Human)	280	O43933	5189
PAK6	Q9NQU5	PAK6_HUMAN	reviewed	Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (PAK-5) (p21-activated kinase 6) (PAK-6)	PAK6 PAK5	Homo sapiens (Human)	681	Q5VTJ3	127707
DYX1C1	Q8WXU2	DAAF4_HUMAN	reviewed	"Dynein assembly factor 4, axonemal (Dyslexia susceptibility 1 candidate gene 1 protein)"	DNAAF4 DYX1C1 EKN1	Homo sapiens (Human)	420	P25787	5683
ATP2C2	O75185	AT2C2_HUMAN	reviewed	Calcium-transporting ATPase type 2C member 2 (ATPase 2C2) (EC 7.2.2.10) (Secretory pathway Ca(2+)-ATPase 2)	ATP2C2 KIAA0703 SPCA2	Homo sapiens (Human)	946	Q9NRG1	56952
OR1G1	P47890	OR1G1_HUMAN	reviewed	Olfactory receptor 1G1 (Olfactory receptor 17-209) (OR17-209) (Olfactory receptor 1G2) (Olfactory receptor OR17-8)	OR1G1 OR1G2	Homo sapiens (Human)	313	Q15223	5818
ABHD15	Q6UXT9	ABH15_HUMAN	reviewed	Protein ABHD15 (EC 3.1.1.-) (Alpha/beta hydrolase domain-containing protein 15) (Abhydrolase domain-containing protein 15)	ABHD15 UNQ6510/PRO21435	Homo sapiens (Human)	468	Q6N075	84975
OR1M1	Q8NGA1	OR1M1_HUMAN	reviewed	Olfactory receptor 1M1 (Olfactory receptor 19-6) (OR19-6) (Olfactory receptor OR19-5)	OR1M1	Homo sapiens (Human)	313	Q9NY74	54465
ZNF302	Q9NR11	ZN302_HUMAN	reviewed	Zinc finger protein 302 (Zinc finger protein 135-like) (Zinc finger protein 140-like) (Zinc finger protein 327)	ZNF302 ZNF135L ZNF140L ZNF327	Homo sapiens (Human)	478	Q86UL3	137964
PLCG1	P19174	PLCG1_HUMAN	reviewed	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)"	PLCG1 PLC1	Homo sapiens (Human)	1290	Q99767	321
MYBL2	P10244	MYBB_HUMAN	reviewed	Myb-related protein B (B-Myb) (Myb-like protein 2)	MYBL2 BMYB	Homo sapiens (Human)	700	A6PVS8	127255
ARCN1	P48444	COPD_HUMAN	reviewed	Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)	ARCN1 COPD	Homo sapiens (Human)	511	Q69YW2	375057
C1orf105	O95561	CA105_HUMAN	reviewed	Uncharacterized protein C1orf105	C1orf105	Homo sapiens (Human)	183	Q8NGE3	121130
HMBOX1	Q6NT76	HMBX1_HUMAN	reviewed	Homeobox-containing protein 1 (Homeobox telomere-binding protein 1) (Telomere-associated homeobox-containing protein 1)	HMBOX1 HOT1 TAH1	Homo sapiens (Human)	420	Q9NVZ3	55707
SCN8A	Q9UQD0	SCN8A_HUMAN	reviewed	Sodium channel protein type 8 subunit alpha (Sodium channel protein type VIII subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.6)	SCN8A MED	Homo sapiens (Human)	1980	Q9NPH3	3556
RABEPK	Q7Z6M1	RABEK_HUMAN	reviewed	Rab9 effector protein with kelch motifs (40 kDa Rab9 effector protein) (p40)	RABEPK RAB9P40	Homo sapiens (Human)	372	P46019	5256
TIMM22	Q9Y584	TIM22_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit Tim22 (Testis-expressed protein 4)	TIMM22 TEX4 TIM22	Homo sapiens (Human)	194	Q9UGQ3	11182
SARNP	P82979	SARNP_HUMAN	reviewed	SAP domain-containing ribonucleoprotein (Cytokine-induced protein of 29 kDa) (Nuclear protein Hcc-1) (Proliferation-associated cytokine-inducible protein CIP29)	SARNP HCC1 HSPC316	Homo sapiens (Human)	210	Q8NGZ5	81470
ACSS3	Q9H6R3	ACSS3_HUMAN	reviewed	"Acyl-CoA synthetase short-chain family member 3, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 3) (Acyl-CoA synthetase short-chain family member 3) (Propionate--CoA ligase) (EC 6.2.1.17)"	ACSS3	Homo sapiens (Human)	686	Q8NG78	219865
B3GALNT2	Q8NCR0	B3GL2_HUMAN	reviewed	"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2 (Beta-1,3-GalNAc-T2) (EC 2.4.1.313) (Beta-1,3-N-acetylgalactosaminyltransferase II)"	B3GALNT2	Homo sapiens (Human)	500	O94986	22995
LYRM1	O43325	LYRM1_HUMAN	reviewed	LYR motif-containing protein 1	LYRM1	Homo sapiens (Human)	122	Q9C0D4	85460
HESX1	Q9UBX0	HESX1_HUMAN	reviewed	Homeobox expressed in ES cells 1 (Homeobox protein ANF) (hAnf)	HESX1 HANF	Homo sapiens (Human)	185	Q8NH54	390083
RNF150	Q9ULK6	RN150_HUMAN	reviewed	RING finger protein 150	RNF150 KIAA1214	Homo sapiens (Human)	438	P30679	2769
PRMT3	O60678	ANM3_HUMAN	reviewed	Protein arginine N-methyltransferase 3 (EC 2.1.1.-) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3)	PRMT3 HRMT1L3	Homo sapiens (Human)	531	Q96P64	119016
KDM4E	B2RXH2	KDM4E_HUMAN	reviewed	Lysine-specific demethylase 4E (EC 1.14.11.-) (KDM4D-like protein) (Lysine-specific demethylase 4D-like)	KDM4E KDM4DL	Homo sapiens (Human)	506	Q9Y5B9	11198
TLL1	O43897	TLL1_HUMAN	reviewed	Tolloid-like protein 1 (EC 3.4.24.-)	TLL1 TLL	Homo sapiens (Human)	1013	Q5K651	54809
TPMT	P51580	TPMT_HUMAN	reviewed	Thiopurine S-methyltransferase (EC 2.1.1.67) (Thiopurine methyltransferase)	TPMT	Homo sapiens (Human)	245	Q96S38	26750
MCTP2	Q6DN12	MCTP2_HUMAN	reviewed	Multiple C2 and transmembrane domain-containing protein 2	MCTP2	Homo sapiens (Human)	878	Q99615	7266
SRRT	Q9BXP5	SRRT_HUMAN	reviewed	Serrate RNA effector molecule homolog (Arsenite-resistance protein 2)	SRRT ARS2 ASR2	Homo sapiens (Human)	876	Q9BY10	57864
MRPS25	P82663	RT25_HUMAN	reviewed	"28S ribosomal protein S25, mitochondrial (MRP-S25) (S25mt) (Mitochondrial small ribosomal subunit protein mS25)"	MRPS25 RPMS25	Homo sapiens (Human)	173	Q8WWQ0	55023
